Voltage,Current (mA),,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,Voltage,Current (mA)
0.5,0,,,,,,,,,,,,,,,,
1,0.04,,,,,,,,,,,,,,,0.5,0
1.5,0.08,,,,,,,,,,,,,,,1,0.04
2,0.13,,,,,,,,,,,,,,,1.5,0.08
2.5,0.18,,,,,,,,,,,,,,,2,0.13
3,0.23,,,,,,,,,,,,,,,2.5,0.18
3.5,0.28,,,,,,,,,,,,,,,3,0.23
4,0.33,,,,,,,,,,,,,,,3.5,0.28
4.5,0.38,,,,,,,,,,,,,,,4,0.33
4.6,0.39,,,,,,,,,,,,,,,4.5,0.38
4.7,0.4,,,,,,,,,,,,,,,4.6,0.39
4.75,0.4,,,,,,,,,,,,,,,4.7,0.4
4.8,0.41,,,,,,,,,,,,,,,4.8,0.41
4.85,0.41,,,,,,,,,,,,,,,4.9,0.42
4.9,0.42,,,,,,,,,,,,,,,5,0.43
4.95,0.42,,,,,,,,,,,,,,,5.1,0.44
5,0.43,,,,,,,,,,,,,,,5.2,0.45
5.05,0.43,,,,,,,,,,,,,,,5.3,0.46
5.1,0.44,,,,,,,,,,,,,,,5.4,0.47
5.15,0.445,,,,,,,,,,,,,,,5.5,0.48
5.2,0.45,,,,,,,,,,,,,,,6,0.53
5.25,0.45,,,,,,,,,,,,,,,6.1,0.54
5.3,0.46,,,,,,,,,,,,,,,6.2,0.55
5.35,0.46,,,,,,,,,,,,,,,6.3,0.56
5.4,0.47,,,,,,,,,,,,,,,6.4,0.57
5.45,0.475,,,,,,,,,,,,,,,6.5,0.58
5.5,0.48,,,,,,,,,,,,,,,6.6,0.59
5.55,0.48,,,,,,,,,,,,,,,6.7,0.6
6,0.53,,,,,,,,,,,,,,,6.8,0.61
6.05,0.54,,,,,,,,,,,,,,,6.9,0.62
6.1,0.54,,,,,,,,,,,,,,,7,0.63
6.15,0.54,,,,,,,,,,,,,,,,
6.2,0.55,,,,,,,,,,,,,,,,
6.25,0.55,,,,,,,,,,,,,,,,
6.3,0.56,,,,,,,,,,,,,,,,
6.35,0.56,,,,,,,,,,,,,,,,
6.4,0.57,,,,,,,,,,,,,,,,
6.45,0.57,,,,,,,,,,,,,,,,
6.5,0.58,,,,,,,,,,,,,,,,
6.55,0.58,,,,,,,,,,,,,,,,
6.6,0.59,,,,,,,,,,,,,,,,
6.65,0.59,,,,,,,,,,,,,,,,
6.7,0.6,,,,,,,,,,,,,,,,
6.75,0.6,,,,,,,,,,,,,,,,
6.8,0.61,,,,,,,,,,,,,,,,
6.85,0.61,,,,,,,,,,,,,,,,
6.9,0.62,,,,,,,,,,,,,,,,
6.95,0.62,,,,,,,,,,,,,,,,
7,0.63,,,,,,,,,,,,,,,,